Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,MO,Flag Football,0,0,0,0
2018/2019,MO,Football -- 11-Player,348,0,19951,0
2018/2019,MO,Football -- 6-player,0,0,0,0
2018/2019,MO,Football -- 8-player,37,0,512,0
2018/2019,MO,Football -- 9-player,0,0,0,0
2018/2019,MO,Golf,329,201,3981,1970
2018/2019,MO,Gymnastics,0,0,0,0
2018/2019,MO,Heptathlon,0,0,0,0
2018/2019,MO,Ice Hockey,0,0,0,0
2018/2019,MO,Judo,0,0,0,0
2018/2019,MO,Kayaking,0,0,0,0
2018/2019,MO,Lacrosse,0,39,0,1719
2018/2019,MO,Martial Arts,0,0,0,0
2018/2019,MO,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,MO,Mt. Biking,0,0,0,0
2018/2019,MO,Native Youth Olympics,0,0,0,0
2018/2019,MO,Riflery,0,0,0,0
2018/2019,MO,Rock Climbing,0,0,0,0
2018/2019,MO,Rodeo,0,0,0,0
2018/2019,MO,Roller Hockey,0,0,0,0
2018/2019,MO,Rugby,0,0,0,0
2018/2019,MO,Rythmic Gymnastics,0,0,0,0
2018/2019,MO,Sailing,0,0,0,0
2018/2019,MO,Sand Volleyball,0,0,0,0
2018/2019,MO,Skiing -- Alpine,0,0,0,0
2018/2019,MO,Skiing -- Cross Country,0,0,0,0
2018/2019,MO,Snowboarding,0,0,0,0
2018/2019,MO,Soccer,251,248,8794,8185
2018/2019,MO,Softball -- Fast Pitch,0,528,0,9313
2018/2019,MO,Softball -- Slow Pitch,0,0,0,0
2018/2019,MO,Soft Tennis,0,0,0,0
2018/2019,MO,Squash,0,0,0,0
2018/2019,MO,Surfing,0,0,0,0
2018/2019,MO,Swimming & Diving,116,146,1947,3244
2018/2019,MO,Synchronized Swimming,0,0,0,0
2018/2019,MO,Team Tennis,183,187,3644,4193
2018/2019,MO,Tennis,183,187,3644,4193
2018/2019,MO,Track and Field -- Indoor,0,0,0,0
2018/2019,MO,Track and Field -- Outdoor,529,533,15232,12386
2018/2019,MO,Trap Shooting,0,0,0,0
2018/2019,MO,Ultimate Frisbee,0,0,0,0
2018/2019,MO,Unified Flag Football,0,0,0,0
2018/2019,MO,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,MO,Volleyball,45,459,1201,10446
2018/2019,MO,Water Polo,21,0,544,0
2018/2019,MO,Weight Lifting,0,0,0,0
2018/2019,MO,Wrestling,252,168,6458,956
2018/2019,MT,Adapted Basketball,0,0,0,0
2018/2019,MT,Adapted Bocce - Indoor,0,0,0,0
2018/2019,MT,Adapted Bowling,0,0,0,0
2018/2019,MT,Adapted Floor Hockey,0,0,0,0
2018/2019,MT,Adapted Football,0,0,0,0
2018/2019,MT,Adapted Soccer,0,0,0,0
2018/2019,MT,Adapted Softball,0,0,0,0
2018/2019,MT,Adapted Track,5,2,20,8
2018/2019,MT,Adapted Volleyball,0,0,0,0
2018/2019,MT,Adaptive Corn Toss,0,0,0,0
2018/2019,MT,Adaptive Golf,0,0,0,0
2018/2019,MT,Adaptive Handball,0,0,0,0
2018/2019,MT,Adaptive Strength Training,0,0,0,0
2018/2019,MT,Adaptive Tennis,0,0,0,0
2018/2019,MT,Air Riflery,0,0,0,0
2018/2019,MT,Archery,0,0,0,0
2018/2019,MT,Badminton,0,0,0,0
2018/2019,MT,Baseball,0,0,0,0
2018/2019,MT,Basketball,175,176,3282,2822
2018/2019,MT,Bass Fishing,0,0,0,0
2018/2019,MT,Beach Volleyball,0,0,0,0
2018/2019,MT,Bocce - Outdoor,0,0,0,0
2018/2019,MT,Bowling,0,0,0,0
2018/2019,MT,Canoe Paddling,0,0,0,0
2018/2019,MT,Competitive Spirit* (Boys who cheer/Girls who cheer),0,0,0,0
2018/2019,MT,Crew,0,0,0,0
2018/2019,MT,Cross Country,124,127,1223,1106
2018/2019,MT,Cycling,0,0,0,0
2018/2019,MT,Dance,0,0,0,0
2018/2019,MT,Dance/Drill,0,0,0,0
2018/2019,MT,"Dance Team, High Kick",0,0,0,0
2018/2019,MT,"Dance Team, Jazz",0,0,0,0
2018/2019,MT,Decathlon,0,0,0,0
2018/2019,MT,Drill Team,0,0,0,0
2018/2019,MT,Equestrian,0,0,0,0
2018/2019,MT,Fencing,0,0,0,0
2018/2019,MT,Field Hockey,0,0,0,0
2018/2019,MT,Figure Skating,0,0,0,0
2018/2019,MT,Flag Football,0,0,0,0
2018/2019,MT,Football -- 11-Player,78,4,3476,6
2018/2019,MT,Football -- 6-player,49,4,426,4
2018/2019,MT,Football -- 8-player,48,1,790,1
2018/2019,MT,Football -- 9-player,0,0,0,0
2018/2019,MT,Golf,115,119,907,546
2018/2019,MT,Gymnastics,0,0,0,0
2018/2019,MT,Heptathlon,0,0,0,0
2018/2019,MT,Ice Hockey,0,0,0,0
2018/2019,MT,Judo,0,0,0,0
2018/2019,MT,Kayaking,0,0,0,0
2018/2019,MT,Lacrosse,0,0,0,0
2018/2019,MT,Martial Arts,0,0,0,0
2018/2019,MT,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,MT,Mt. Biking,0,0,0,0
2018/2019,MT,Native Youth Olympics,0,0,0,0
2018/2019,MT,Riflery,0,0,0,0
2018/2019,MT,Rock Climbing,0,0,0,0
2018/2019,MT,Rodeo,0,0,0,0
2018/2019,MT,Roller Hockey,0,0,0,0
2018/2019,MT,Rugby,0,0,0,0
2018/2019,MT,Rythmic Gymnastics,0,0,0,0
2018/2019,MT,Sailing,0,0,0,0
2018/2019,MT,Sand Volleyball,0,0,0,0
2018/2019,MT,Skiing -- Alpine,0,0,0,0
2018/2019,MT,Skiing -- Cross Country,0,0,0,0
2018/2019,MT,Snowboarding,0,0,0,0
2018/2019,MT,Soccer,28,33,841,830
2018/2019,MT,Softball -- Fast Pitch,0,72,0,1089
2018/2019,MT,Softball -- Slow Pitch,0,0,0,0
2018/2019,MT,Soft Tennis,0,0,0,0
2018/2019,MT,Squash,0,0,0,0
2018/2019,MT,Surfing,0,0,0,0
2018/2019,MT,Swimming & Diving,24,24,256,363
2018/2019,MT,Synchronized Swimming,0,0,0,0
2018/2019,MT,Team Tennis,0,0,0,0
2018/2019,MT,Tennis,46,65,667,976
2018/2019,MT,Track and Field -- Indoor,0,0,0,0
2018/2019,MT,Track and Field -- Outdoor,175,176,3524,2598
2018/2019,MT,Trap Shooting,0,0,0,0
2018/2019,MT,Ultimate Frisbee,0,0,0,0
2018/2019,MT,Unified Basketball,0,0,0,0
2018/2019,MT,Unified Flag Football,0,0,0,0
2018/2019,MT,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,MT,Volleyball,0,179,0,3349
2018/2019,MT,Water Polo,0,0,0,0
2018/2019,MT,Weight Lifting,0,0,0,0
2018/2019,MT,Wrestling,97,22,1380,40
2018/2019,NE,Adapted Basketball,0,0,0,0
2018/2019,NE,Adapted Bocce - Indoor,0,0,0,0
2018/2019,NE,Adapted Bowling,61,61,657,664
2018/2019,NE,Adapted Floor Hockey,0,0,0,0
2018/2019,NE,Adapted Soccer,0,0,0,0
2018/2019,NE,Adapted Softball,0,0,0,0
2018/2019,NE,Adapted Track,27,27,16,24
2018/2019,NE,Adapted Volleyball,0,0,0,0
2018/2019,NE,Adaptive Corn Toss,0,0,0,0
2018/2019,NE,Adaptive Golf,0,0,0,0
2018/2019,NE,Adaptive Handball,0,0,0,0
2018/2019,NE,Adaptive Strength Training,0,0,0,0
2018/2019,NE,Adaptive Tennis,0,0,0,0
2018/2019,NE,Air Riflery,0,0,0,0
2018/2019,NE,Archery,0,0,0,0
2018/2019,NE,Badminton,0,0,0,0
2018/2019,NE,Baseball,82,0,2500,2
2018/2019,NE,Basketball,298,299,7091,5793
2018/2019,NE,Bass Fishing,0,0,0,0
2018/2019,NE,Beach Volleyball,0,0,0,0
2018/2019,NE,Bocce - Outdoor,0,0,0,0
2018/2019,NE,Bowling,0,0,0,0
2018/2019,NE,Canoe Paddling,0,0,0,0
2018/2019,NE,Competitive Spirit* (Boys who cheer/Girls who cheer),0,0,0,0
2018/2019,NE,Crew,0,0,0,0
2018/2019,NE,Cross Country,245,245,3348,2492
2018/2019,NE,Cycling,0,0,0,0
2018/2019,NE,Dance,0,0,0,0
2018/2019,NE,Dance/Drill,0,0,0,0
2018/2019,NE,"Dance Team, High Kick",0,0,0,0
2018/2019,NE,"Dance Team, Jazz",0,0,0,0
2018/2019,NE,Decathlon,0,0,0,0
2018/2019,NE,Drill Team,0,0,0,0
2018/2019,NE,Equestrian,0,0,0,0
2018/2019,NE,Fencing,0,0,0,0
2018/2019,NE,Field Hockey,0,0,0,0
2018/2019,NE,Figure Skating,0,0,0,0
2018/2019,NE,Flag Football,0,0,0,0
2018/2019,NE,Football -- 11-Player,153,0,8579,18
2018/2019,NE,Football -- 6-player,26,0,0,0
2018/2019,NE,Football -- 8-player,121,0,3122,29
2018/2019,NE,Football -- 9-player,0,0,0,0
2018/2019,NE,Golf,243,139,2585,1387
2018/2019,NE,Gymnastics,0,0,0,0
2018/2019,NE,Heptathlon,0,0,0,0
2018/2019,NE,Ice Hockey,0,0,0,0
2018/2019,NE,Judo,0,0,0,0
2018/2019,NE,Kayaking,0,0,0,0
2018/2019,NE,Lacrosse,0,0,0,0
2018/2019,NE,Martial Arts,0,0,0,0
2018/2019,NE,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,NE,Mt. Biking,0,0,0,0
2018/2019,NE,Native Youth Olympics,0,0,0,0
2018/2019,NE,Riflery,0,0,0,0
2018/2019,NE,Rock Climbing,0,0,0,0
2018/2019,NE,Rodeo,0,0,0,0
2018/2019,NE,Roller Hockey,0,0,0,0
2018/2019,NE,Rugby,0,0,0,0
2018/2019,NE,Rythmic Gymnastics,0,0,0,0
2018/2019,NE,Sailing,0,0,0,0
2018/2019,NE,Sand Volleyball,0,0,0,0
2018/2019,NE,Skiing -- Alpine,0,0,0,0
2018/2019,NE,Skiing -- Cross Country,0,0,0,0
2018/2019,NE,Snowboarding,0,0,0,0
2018/2019,NE,Soccer,80,79,2847,2523
2018/2019,NE,Softball -- Fast Pitch,0,147,0,2665
2018/2019,NE,Softball -- Slow Pitch,0,0,0,0
2018/2019,NE,Soft Tennis,0,0,0,0
2018/2019,NE,Squash,0,0,0,0
2018/2019,NE,Surfing,0,0,0,0
2018/2019,NE,Swimming & Diving,60,62,877,1107
2018/2019,NE,Synchronized Swimming,0,0,0,0
2018/2019,NE,Team Tennis,0,0,0,0
2018/2019,NE,Tennis,61,67,1067,1624
2018/2019,NE,Track and Field -- Indoor,0,0,0,0
2018/2019,NE,Track and Field -- Outdoor,298,299,8767,7518
2018/2019,NE,Trap Shooting,0,0,0,0
2018/2019,NE,Ultimate Frisbee,0,0,0,0
2018/2019,NE,Unified Flag Football,0,0,0,0
2018/2019,NE,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,NE,Volleyball,0,300,0,6595
2018/2019,NE,Water Polo,0,0,0,0
2018/2019,NE,Weight Lifting,0,0,0,0
2018/2019,NE,Wrestling,252,0,4463,168
2018/2019,NV,Adapted Basketball,0,0,0,0
2018/2019,NV,Adapted Bocce - Indoor,0,0,0,0
2018/2019,NV,Adapted Bowling,0,0,0,0
2018/2019,NV,Adapted Floor Hockey,0,0,0,0
2018/2019,NV,Adapted Soccer,0,0,0,0
2018/2019,NV,Adapted Softball,0,0,0,0
2018/2019,NV,Adapted Track,0,0,0,0
2018/2019,NV,Adapted Volleyball,0,0,0,0
2018/2019,NV,Adaptive Corn Toss,0,0,0,0
2018/2019,NV,Adaptive Golf,0,0,0,0
2018/2019,NV,Adaptive Handball,0,0,0,0
2018/2019,NV,Adaptive Strength Training,0,0,0,0
2018/2019,NV,Adaptive Tennis,0,0,0,0
2018/2019,NV,Air Riflery,0,0,0,0
2018/2019,NV,Archery,0,0,0,0
2018/2019,NV,Badminton,0,0,0,0
2018/2019,NV,Baseball,95,0,3132,0
2018/2019,NV,Basketball,108,103,3469,2849
2018/2019,NV,Bass Fishing,0,0,0,0
2018/2019,NV,Beach Volleyball,0,0,0,0
2018/2019,NV,Bocce - Outdoor,0,0,0,0
2018/2019,NV,Bowling,37,36,335,269
2018/2019,NV,Canoe Paddling,0,0,0,0
2018/2019,NV,Competitive Spirit* (Boys who cheer/Girls who cheer),0,0,0,0
2018/2019,NV,Crew,0,0,0,0
2018/2019,NV,Cross Country,87,78,1195,779
2018/2019,NV,Cycling,0,0,0,0
2018/2019,NV,Dance,0,0,0,0
2018/2019,NV,Dance/Drill,0,0,0,0
2018/2019,NV,"Dance Team, High Kick",0,0,0,0
2018/2019,NV,"Dance Team, Jazz",0,0,0,0
2018/2019,NV,Decathlon,0,0,0,0
2018/2019,NV,Drill Team,0,0,0,0
2018/2019,NV,Equestrian,0,0,0,0
2018/2019,NV,Fencing,0,0,0,0
2018/2019,NV,Field Hockey,0,0,0,0
2018/2019,NV,Figure Skating,0,0,0,0
2018/2019,NV,Flag Football,0,36,0,1881
2018/2019,NV,Football -- 11-Player,74,0,6678,0
2018/2019,NV,Football -- 6-player,0,0,0,0
2018/2019,NV,Football -- 8-player,22,0,405,0
2018/2019,NV,Football -- 9-player,0,0,0,0
2018/2019,NV,Golf,78,70,766,459
2018/2019,NV,Gymnastics,0,0,0,0
2018/2019,NV,Heptathlon,0,0,0,0
2018/2019,NV,Ice Hockey,0,0,0,0
2018/2019,NV,Judo,0,0,0,0
2018/2019,NV,Kayaking,0,0,0,0
2018/2019,NV,Lacrosse,0,0,0,0
2018/2019,NV,Martial Arts,0,0,0,0
2018/2019,NV,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,NV,Mt. Biking,0,0,0,0
2018/2019,NV,Native Youth Olympics,0,0,0,0
2018/2019,NV,Riflery,0,0,0,0
2018/2019,NV,Rock Climbing,0,0,0,0
2018/2019,NV,Rodeo,0,0,0,0
2018/2019,NV,Roller Hockey,0,0,0,0
2018/2019,NV,Rugby,0,0,0,0
2018/2019,NV,Rythmic Gymnastics,0,0,0,0
2018/2019,NV,Sailing,0,0,0,0
2018/2019,NV,Sand Volleyball,0,0,0,0
2018/2019,NV,Skiing -- Alpine,19,19,268,177
2018/2019,NV,Skiing -- Cross Country,0,0,0,0
2018/2019,NV,Snowboarding,0,0,0,0
2018/2019,NV,Soccer,71,69,2661,2567
2018/2019,NV,Softball -- Fast Pitch,0,91,0,2626
2018/2019,NV,Softball -- Slow Pitch,0,0,0,0
2018/2019,NV,Soft Tennis,0,0,0,0
2018/2019,NV,Squash,0,0,0,0
2018/2019,NV,Surfing,0,0,0,0
2018/2019,NV,Swimming & Diving,60,60,819,1418
2018/2019,NV,Synchronized Swimming,0,0,0,0
2018/2019,NV,Team Tennis,0,0,0,0
2018/2019,NV,Tennis,55,55,749,785
2018/2019,NV,Track and Field -- Indoor,0,0,0,0
2018/2019,NV,Track and Field -- Outdoor,98,92,4347,3187
2018/2019,NV,Trap Shooting,0,0,0,0
2018/2019,NV,Ultimate Frisbee,0,0,0,0
2018/2019,NV,Unified Flag Football,0,0,0,0
2018/2019,NV,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,NV,Volleyball,35,107,1334,3248
2018/2019,NV,Water Polo,0,0,0,0
2018/2019,NV,Weight Lifting,0,0,0,0
2018/2019,NV,Wrestling,79,18,1976,124
2018/2019,NH,Adapted Basketball,48,48,448,481
2018/2019,NH,Adapted Bocce - Indoor,0,0,0,0
2018/2019,NH,Adapted Bowling,0,0,0,0
2018/2019,NH,Adapted Floor Hockey,0,0,0,0
2018/2019,NH,Adapted Soccer,21,21,170,198
2018/2019,NH,Adapted Softball,0,0,0,0
2018/2019,NH,Adapted Track,15,15,123,182
2018/2019,NH,Adapted Volleyball,11,11,57,105
2018/2019,NH,Adaptive Corn Toss,0,0,0,0
2018/2019,NH,Adaptive Golf,0,0,0,0
2018/2019,NH,Adaptive Handball,0,0,0,0
2018/2019,NH,Adaptive Strength Training,0,0,0,0
2018/2019,NH,Adaptive Tennis,0,0,0,0
2018/2019,NH,Air Riflery,0,0,0,0
2018/2019,NH,Archery,0,0,0,0
2018/2019,NH,Badminton,0,0,0,0
2018/2019,NH,Baseball,86,0,2318,6
2018/2019,NH,Basketball,87,87,2456,1816
2018/2019,NH,Bass Fishing,41,41,193,10
2018/2019,NH,Beach Volleyball,0,0,0,0
2018/2019,NH,Bocce - Outdoor,0,0,0,0
2018/2019,NH,Bowling,16,16,175,74
2018/2019,NH,Canoe Paddling,0,0,0,0
2018/2019,NH,Competitive Spirit* (Boys who cheer/Girls who cheer),0,0,0,0
2018/2019,NH,Crew,0,0,0,0
2018/2019,NH,Cross Country,73,73,1084,910
2018/2019,NH,Cycling,0,0,0,0
2018/2019,NH,Dance,0,0,0,0
2018/2019,NH,Dance/Drill,0,0,0,0
2018/2019,NH,"Dance Team, High Kick",0,0,0,0
2018/2019,NH,"Dance Team, Jazz",0,0,0,0
2018/2019,NH,Decathlon,0,0,0,0
2018/2019,NH,Drill Team,0,0,0,0
2018/2019,NH,Equestrian,0,0,0,0
2018/2019,NH,Fencing,0,0,0,0
2018/2019,NH,Field Hockey,0,54,1,1760
2018/2019,NH,Figure Skating,0,0,0,0
2018/2019,NH,Flag Football,0,0,0,0
2018/2019,NH,Football -- 11-Player,58,0,3120,22
2018/2019,NH,Football -- 6-player,0,0,0,0
2018/2019,NH,Football -- 8-player,0,0,0,0
2018/2019,NH,Football -- 9-player,0,0,0,0
2018/2019,NH,Golf,63,63,786,61
2018/2019,NH,Gymnastics,0,30,0,202
2018/2019,NH,Heptathlon,0,0,0,0
2018/2019,NH,Ice Hockey,43,16,993,313
2018/2019,NH,Judo,0,0,0,0
2018/2019,NH,Kayaking,0,0,0,0
2018/2019,NH,Lacrosse,49,47,1858,1677
2018/2019,NH,Martial Arts,0,0,0,0
2018/2019,NH,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,NH,Mt. Biking,0,0,0,0
2018/2019,NH,Native Youth Olympics,0,0,0,0
2018/2019,NH,Riflery,0,0,0,0
2018/2019,NH,Rock Climbing,0,0,0,0
2018/2019,NH,Rodeo,0,0,0,0
2018/2019,NH,Roller Hockey,0,0,0,0
2018/2019,NH,Rugby,0,0,0,0
2018/2019,NH,Rythmic Gymnastics,0,0,0,0
2018/2019,NH,Sailing,0,0,0,0
2018/2019,NH,Sand Volleyball,0,0,0,0
2018/2019,NH,Skiing -- Alpine,55,56,522,430
2018/2019,NH,Skiing -- Cross Country,31,30,232,296
2018/2019,NH,Snowboarding,0,0,0,0
2018/2019,NH,Soccer,87,81,3006,2605
2018/2019,NH,Softball -- Fast Pitch,0,84,0,1842
2018/2019,NH,Softball -- Slow Pitch,0,0,0,0
2018/2019,NH,Soft Tennis,0,0,0,0
2018/2019,NH,Squash,0,0,0,0
2018/2019,NH,Surfing,0,0,0,0
2018/2019,NH,Swimming & Diving,50,52,389,708
2018/2019,NH,Synchronized Swimming,0,0,0,0
2018/2019,NH,Team Tennis,0,0,0,0
2018/2019,NH,Tennis,51,54,741,927
2018/2019,NH,Track and Field -- Indoor,59,62,1226,1129
2018/2019,NH,Track and Field -- Outdoor,76,75,2336,2042
2018/2019,NH,Trap Shooting,0,0,0,0
2018/2019,NH,Ultimate Frisbee,0,0,0,0
2018/2019,NH,Unified Flag Football,0,0,0,0
2018/2019,NH,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,NH,Volleyball,16,58,332,1568
2018/2019,NH,Water Polo,0,0,0,0
2018/2019,NH,Weight Lifting,0,0,0,0
2018/2019,NH,Wrestling,42,0,705,38
2018/2019,NJ,Adapted Basketball,0,0,0,0
2018/2019,NJ,Adapted Bocce - Indoor,0,0,0,0
2018/2019,NJ,Adapted Bowling,0,0,0,0
2018/2019,NJ,Adapted Floor Hockey,0,0,0,0
2018/2019,NJ,Adapted Soccer,0,0,0,0
2018/2019,NJ,Adapted Softball,0,0,0,0
2018/2019,NJ,Adapted Track,0,0,0,0
2018/2019,NJ,Adapted Volleyball,0,0,0,0
2018/2019,NJ,Adaptive Corn Toss,0,0,0,0
2018/2019,NJ,Adaptive Golf,0,0,0,0
2018/2019,NJ,Adaptive Handball,0,0,0,0
2018/2019,NJ,Adaptive Strength Training,0,0,0,0
2018/2019,NJ,Adaptive Tennis,0,0,0,0
2018/2019,NJ,Air Riflery,0,0,0,0
2018/2019,NJ,Archery,0,0,0,0
2018/2019,NJ,Badminton,0,0,0,0
2018/2019,NJ,Baseball,391,0,14803,44
2018/2019,NJ,Basketball,411,411,14939,10051
2018/2019,NJ,Bass Fishing,0,0,0,0
2018/2019,NJ,Beach Volleyball,0,0,0,0
2018/2019,NJ,Bocce - Outdoor,0,0,0,0
2018/2019,NJ,Bowling,243,217,3145,2171
2018/2019,NJ,Canoe Paddling,0,0,0,0
2018/2019,NJ,Competitive Spirit* (Boys who cheer/Girls who cheer),0,0,0,0
2018/2019,NJ,Crew,0,0,0,0
2018/2019,NJ,Cross Country,373,372,8491,5863
2018/2019,NJ,Cycling,0,0,0,0
2018/2019,NJ,Dance,0,0,0,0
2018/2019,NJ,Dance/Drill,0,0,0,0
2018/2019,NJ,"Dance Team, High Kick",0,0,0,0
2018/2019,NJ,"Dance Team, Jazz",0,0,0,0
2018/2019,NJ,Decathlon,0,0,0,0
2018/2019,NJ,Drill Team,0,0,0,0
2018/2019,NJ,Equestrian,0,0,0,0
2018/2019,NJ,Fencing,52,53,1374,1128
2018/2019,NJ,Field Hockey,0,221,0,8648
2018/2019,NJ,Figure Skating,0,0,0,0
2018/2019,NJ,Flag Football,0,0,0,0
2018/2019,NJ,Football -- 11-Player,343,0,22515,208
2018/2019,NJ,Football -- 6-player,0,0,0,0
2018/2019,NJ,Football -- 8-player,0,0,0,0
2018/2019,NJ,Football -- 9-player,0,0,0,0
2018/2019,NJ,Golf,288,183,3690,1847
2018/2019,NJ,Gymnastics,0,77,0,919
2018/2019,NJ,Heptathlon,0,0,0,0
2018/2019,NJ,Ice Hockey,134,0,3631,395
2018/2019,NJ,Judo,0,0,0,0
2018/2019,NJ,Kayaking,0,0,0,0
2018/2019,NJ,Lacrosse,209,218,9312,9841
2018/2019,NJ,Martial Arts,0,0,0,0
2018/2019,NJ,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,NJ,Mt. Biking,0,0,0,0
2018/2019,NJ,Native Youth Olympics,0,0,0,0
2018/2019,NJ,Riflery,0,0,0,0
2018/2019,NJ,Rock Climbing,0,0,0,0
2018/2019,NJ,Rodeo,0,0,0,0
2018/2019,NJ,Roller Hockey,0,0,0,0
2018/2019,NJ,Rugby,0,0,0,0
2018/2019,NJ,Rythmic Gymnastics,0,0,0,0
2018/2019,NJ,Sailing,0,0,0,0
2018/2019,NJ,Sand Volleyball,0,0,0,0
2018/2019,NJ,Skiing -- Alpine,0,0,0,0
2018/2019,NJ,Skiing -- Cross Country,48,44,1109,131
2018/2019,NJ,Snowboarding,0,0,0,0
2018/2019,NJ,Soccer,397,373,19640,14279
2018/2019,NJ,Softball -- Fast Pitch,0,402,0,11881
2018/2019,NJ,Softball -- Slow Pitch,0,0,0,0
2018/2019,NJ,Soft Tennis,0,0,0,0
2018/2019,NJ,Squash,0,0,0,0
2018/2019,NJ,Surfing,0,0,0,0
2018/2019,NJ,Swimming & Diving,251,223,5281,6385
2018/2019,NJ,Synchronized Swimming,0,0,0,0
2018/2019,NJ,Team Tennis,0,0,0,0
2018/2019,NJ,Tennis,307,327,5948,7072
2018/2019,NJ,Track and Field -- Indoor,325,322,12622,10870
2018/2019,NJ,Track and Field -- Outdoor,377,378,20111,17378
2018/2019,NJ,Trap Shooting,0,0,0,0
2018/2019,NJ,Ultimate Frisbee,0,0,0,0
2018/2019,NJ,Unified Flag Football,0,0,0,0
2018/2019,NJ,Unified Track and Field -- Outdoor,16,16,279,271
2018/2019,NJ,Volleyball,148,299,4518,10143
2018/2019,NJ,Water Polo,0,0,0,0
2018/2019,NJ,Weight Lifting,0,0,0,0
2018/2019,NJ,Wrestling,311,0,9648,477
2018/2019,NM,Adapted Basketball,0,0,0,0
2018/2019,NM,Adapted Bocce - Indoor,0,0,0,0
2018/2019,NM,Adapted Bowling,0,0,0,0
2018/2019,NM,Adapted Floor Hockey,0,0,0,0
2018/2019,NM,Adapted Soccer,0,0,0,0
2018/2019,NM,Adapted Softball,0,0,0,0
2018/2019,NM,Adapted Track,0,0,0,0
2018/2019,NM,Adapted Volleyball,0,0,0,0
2018/2019,NM,Adaptive Corn Toss,0,0,0,0
2018/2019,NM,Adaptive Golf,0,0,0,0
2018/2019,NM,Adaptive Handball,0,0,0,0
2018/2019,NM,Adaptive Strength Training,0,0,0,0
2018/2019,NM,Adaptive Tennis,0,0,0,0
2018/2019,NM,Air Riflery,0,0,0,0
2018/2019,NM,Archery,0,0,0,0
2018/2019,NM,Badminton,0,0,0,0
2018/2019,NM,Baseball,111,111,3070,33
2018/2019,NM,Basketball,153,153,3902,3478
2018/2019,NM,Bass Fishing,0,0,0,0
2018/2019,NM,Beach Volleyball,0,0,0,0
2018/2019,NM,Bocce - Outdoor,0,0,0,0
2018/2019,NM,Bowling,26,26,266,266
2018/2019,NM,Canoe Paddling,0,0,0,0
2018/2019,NM,Competitive Spirit* (Boys who cheer/Girls who cheer),76,76,117,1804
2018/2019,NM,Crew,0,0,0,0
2018/2019,NM,Cross Country,117,117,1552,1268
2018/2019,NM,Cycling,0,0,0,0
2018/2019,NM,Dance,0,0,0,0
2018/2019,NM,Dance/Drill,40,40,26,585
2018/2019,NM,"Dance Team, High Kick",0,0,0,0
2018/2019,NM,"Dance Team, Jazz",0,0,0,0
2018/2019,NM,Decathlon,0,0,0,0
2018/2019,NM,Drill Team,0,0,0,0
2018/2019,NM,Equestrian,0,0,0,0
2018/2019,NM,Fencing,0,0,0,0
2018/2019,NM,Field Hockey,0,0,0,0
2018/2019,NM,Figure Skating,0,0,0,0
2018/2019,NM,Flag Football,0,0,0,0
2018/2019,NM,Football -- 11-Player,98,98,6061,76
2018/2019,NM,Football -- 6-player,14,14,139,1
2018/2019,NM,Football -- 8-player,18,18,281,4
2018/2019,NM,Football -- 9-player,0,0,0,0
2018/2019,NM,Golf,79,79,645,455
2018/2019,NM,Gymnastics,0,0,0,0
2018/2019,NM,Heptathlon,0,0,0,0
2018/2019,NM,Ice Hockey,0,0,0,0
2018/2019,NM,Judo,0,0,0,0
2018/2019,NM,Kayaking,0,0,0,0
2018/2019,NM,Lacrosse,0,0,0,0
2018/2019,NM,Martial Arts,0,0,0,0
2018/2019,NM,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,NM,Mt. Biking,0,0,0,0
2018/2019,NM,Native Youth Olympics,0,0,0,0
2018/2019,NM,Riflery,0,0,0,0
2018/2019,NM,Rock Climbing,0,0,0,0
2018/2019,NM,Rodeo,23,23,43,42
2018/2019,NM,Roller Hockey,0,0,0,0
2018/2019,NM,Rugby,0,0,0,0
2018/2019,NM,Rythmic Gymnastics,0,0,0,0
2018/2019,NM,Sailing,0,0,0,0
2018/2019,NM,Sand Volleyball,0,0,0,0
2018/2019,NM,Skiing -- Alpine,0,0,0,0
2018/2019,NM,Skiing -- Cross Country,0,0,0,0
2018/2019,NM,Snowboarding,0,0,0,0
2018/2019,NM,Soccer,78,66,2451,2196
2018/2019,NM,Softball -- Fast Pitch,0,100,5,2476
2018/2019,NM,Softball -- Slow Pitch,0,0,0,0
2018/2019,NM,Soft Tennis,0,0,0,0
2018/2019,NM,Squash,0,0,0,0
2018/2019,NM,Surfing,0,0,0,0
2018/2019,NM,Swimming & Diving,46,46,594,724
2018/2019,NM,Synchronized Swimming,0,0,0,0
2018/2019,NM,Team Tennis,0,0,0,0
2018/2019,NM,Tennis,61,61,713,765
